,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
03-02-2020,63107,48878,90850,97357,5925,39211,87578,78449,18199,21479,5188,2373,2791,4644,9407,7549,4211,5099,2525,9737,500,611,9,85,30,97,68
04-02-2020,44410,80399,60233,19813,37273,22767,28665,57161,35703,23010,2192,4561,5864,1973,7228,2741,3932,6198,4310,4595,636,41,459,7,79,54,11
05-02-2020,97615,16340,89362,29868,78216,32362,57921,95776,49042,9268,7310,2074,8384,4593,2767,985,2000,2605,5893,7945,386,509,866,94,59,18,97
06-02-2020,26275,35468,15859,88339,81900,36763,36696,76233,97346,817,8776,6377,8509,1558,9296,2986,2325,5333,3052,2149,525,480,12,8,12,0,56
07-02-2020,14973,31007,98439,51996,66382,25328,33295,95453,50326,81590,1506,6872,979,1102,8774,8759,1943,4848,4121,6643,418,419,249,40,71,18,12
08-02-2020,22191,97112,40888,39940,39500,73056,14865,94839,85281,96191,1620,731,2825,6430,3602,9578,1397,3671,4851,7642,954,16,641,15,59,64,52
09-02-2020,60347,72943,52500,63708,29081,28839,14561,9823,2094,44851,7678,5015,8660,1068,871,8747,8892,8217,4766,6409,373,543,17,4,78,48,87
10-02-2020,96045,92206,82719,89221,378,93384,44460,78077,14462,4857,5402,7559,5196,7398,7441,578,7326,2101,6102,5076,784,97,225,69,99,64,83
11-02-2020,7696,5052,30163,69705,97394,82663,27996,19116,9205,85254,137,4297,8811,5555,1133,1664,6194,5111,1536,5086,368,494,493,70,3,36,84
12-02-2020,19747,36897,52338,58777,48048,58519,57844,18354,30165,42681,1696,8880,159,6349,8361,8029,2755,9397,3422,364,368,843,762,64,71,47,49
13-02-2020,54232,25908,23623,36836,36173,85434,13354,41469,76130,24489,7613,931,7469,2485,5822,856,1896,8077,4113,4624,828,606,6,5,29,76,7
14-02-2020,51855,8402,81863,94490,50504,49212,24274,15269,72405,57083,6841,4789,6299,3683,9592,2305,9625,4188,7762,2244,69,488,621,34,68,33,70
15-02-2020,47417,56746,2208,90927,42888,58732,5678,39250,46376,8543,4057,1320,5051,8760,5996,4963,9132,4440,9148,8146,948,740,43,41,30,88,99
16-02-2020,776,68932,60349,63294,1367,85984,96456,91023,80589,71089,2223,1433,1393,6940,7978,5073,4795,6977,954,9081,205,437,904,49,92,75,51
17-02-2020,99817,69356,53268,37870,86212,64009,75190,95157,78289,80249,6853,621,9077,265,9850,5104,4,8241,5178,210,377,170,135,70,42,23,92
18-02-2020,6616,32033,10879,99942,63475,76892,7176,13773,23291,52816,7953,6150,7212,409,7326,8802,2501,6687,3471,8773,270,964,103,48,41,40,59
19-02-2020,90398,38353,12735,48565,16557,64873,58369,16733,89160,33499,2676,3211,4182,2239,1410,9893,6515,8217,3450,8057,345,359,475,85,37,52,50
20-02-2020,22204,15061,10606,26736,99942,79268,4489,14967,69815,7814,8749,4107,2844,2015,1999,8055,8891,3495,5148,1505,883,194,394,93,31,40,22
21-02-2020,36089,26541,33678,81840,88284,23901,70618,26101,96261,59205,6019,705,1674,8595,8929,7766,5065,5562,6785,3432,174,366,533,57,40,61,67
22-02-2020,37647,52140,89553,90068,44299,40219,65973,97734,71363,33287,5186,315,8723,2476,514,7691,4034,7789,370,5295,78,684,757,33,60,62,32
23-02-2020,36144,93004,25702,82940,8697,31608,74878,98769,17003,2375,5161,6520,8407,2857,2068,5776,5063,3226,8275,7871,777,765,975,42,73,24,38
24-02-2020,91609,82206,26860,61989,51549,14541,31054,96070,20841,13121,4250,7746,8751,8613,2838,1219,1634,6563,9437,4937,611,523,835,31,68,80,65
25-02-2020,37376,12891,22279,64999,31411,55239,92987,31305,21887,46023,9693,9579,168,4861,8140,1306,9418,4642,9004,6377,948,266,172,50,76,24,36
26-02-2020,23146,98019,87234,29114,91980,99298,92782,18805,91851,2412,9570,4164,8316,1663,1814,6391,8882,5430,7287,3653,403,810,362,83,96,47,19
27-02-2020,26422,29343,35383,77943,62852,93482,53844,55177,79573,40786,3712,691,5662,2082,3891,9905,7400,6147,7958,6420,194,20,360,52,81,7,6
28-02-2020,45982,62271,76182,59955,72241,64855,42396,76780,5407,18088,834,924,1415,6482,609,5070,1146,4157,9139,3659,804,723,789,65,98,27,96
29-02-2020,80805,71818,88766,13763,55750,78938,52389,71702,44422,82346,7287,1433,9786,7570,9568,2954,6203,3326,6645,3852,915,810,212,94,10,5,1
01-03-2020,4635,24477,92504,48155,91788,96646,1218,9416,92449,38877,3072,3669,3689,7911,2609,708,1715,5013,7401,9860,62,672,747,18,30,81,19
02-03-2020,73787,32978,82365,65300,32078,35556,19862,70756,61815,40242,2323,9382,4812,5049,4577,2820,337,9518,4758,8860,247,296,506,85,66,74,94
03-03-2020,38823,33276,12937,37028,36500,35499,85025,81514,69229,78054,8592,1640,4926,2018,9288,9910,2811,4281,7653,4235,998,658,806,66,16,72,35
04-03-2020,51223,77441,2185,5377,96983,92114,30946,32779,10349,83058,7197,353,4493,7508,9413,6577,6324,2265,2398,4204,159,698,754,50,31,38,61
05-03-2020,52991,47359,44551,54484,25666,68705,40379,60476,77838,35907,6198,1793,9390,5253,4866,7097,9363,2380,4177,4853,483,781,539,33,26,5,4
06-03-2020,78854,13173,62902,3693,45332,16300,90057,90003,75573,23758,6138,6326,423,9311,3204,6373,188,21,5847,4798,677,363,157,0,83,71,17
07-03-2020,87368,73173,27036,54544,77812,59408,72899,82344,73114,19856,5565,2531,8203,5162,1387,1730,3015,3276,7577,7061,910,58,275,6,83,85,12
08-03-2020,55060,9692,35242,33557,85243,84377,31610,46002,5394,84921,1848,1585,6292,1640,9995,8722,2765,2735,4543,129,461,55,185,3,73,33,53
09-03-2020,95973,3777,43096,2288,32579,37853,22678,40864,96861,18906,6471,6581,6602,2389,7956,6879,7209,5214,2437,928,182,761,885,64,80,76,95
10-03-2020,83549,12329,92542,35165,59764,46481,97051,57851,13914,77505,6407,6019,6797,379,2990,8896,1664,5590,1955,2214,206,597,471,99,1,17,63
11-03-2020,29224,68194,43580,38840,8329,31050,5198,46360,11025,51779,725,2359,2302,6234,4629,1141,8702,626,9691,8499,445,65,174,45,79,21,11
12-03-2020,74951,27007,55721,8593,13339,57361,72694,54853,93029,66362,4054,8582,4532,3578,4231,8198,5918,7332,6121,2635,209,821,619,44,56,1,47
13-03-2020,73118,9141,98087,40822,52331,72524,22989,13005,58740,98211,8423,1719,7100,9083,1384,9262,9040,8400,5081,4900,852,814,387,92,82,2,99
14-03-2020,18915,50209,46360,69622,71028,51970,15750,1316,58671,85924,4090,5861,4710,2972,181,274,3505,8715,4113,8599,714,187,621,98,35,2,15
15-03-2020,18901,74415,31161,20773,23514,55646,6937,73046,12636,49186,1400,5832,8251,7684,5471,2988,2124,3514,4015,7120,530,898,156,85,10,24,18
16-03-2020,28322,7557,65702,27990,64263,88400,71845,11256,2428,45940,2686,1044,5988,9434,1010,574,1724,566,4075,7615,998,974,58,30,77,0,29
17-03-2020,52267,49403,94349,97172,14746,72269,73511,34127,52035,82697,7351,7084,4566,590,9343,788,8915,6238,4912,1830,382,411,324,93,25,74,65
18-03-2020,81489,16279,16833,13453,33416,18422,62872,73341,70559,86064,1492,1565,5294,7895,2797,2218,9847,4788,1000,7626,251,694,594,12,54,28,90
19-03-2020,85074,33372,86985,36432,11074,1151,29579,69251,13863,22942,7227,6123,804,6806,8004,8389,3963,1822,4929,3867,110,971,212,81,19,36,79
20-03-2020,85736,50768,7778,1694,95155,67664,71816,5675,80446,19342,6841,3562,268,3456,2591,1791,1714,7101,4306,4871,831,374,331,74,73,89,21
21-03-2020,55521,17703,75598,49924,56896,96015,37437,74398,25272,85690,1428,443,7921,4724,3314,3035,1677,7751,8334,7586,612,214,306,91,48,90,26
22-03-2020,46024,31360,46433,27853,97952,29276,39119,2095,44500,12422,613,2813,8135,9527,1434,4104,658,7369,9922,272,191,310,917,48,9,87,8
23-03-2020,36123,74096,74963,90401,72038,89615,92996,48654,74774,28017,5815,9852,8219,411,3975,8310,6703,4557,504,7487,551,90,914,56,87,7,93
24-03-2020,31578,73112,34793,13159,49320,52222,39477,62863,21,73974,7605,8743,3931,4385,1116,788,8887,1437,2565,929,448,498,85,99,42,59,95
25-03-2020,54296,54643,85240,19833,47082,32268,46213,34273,56000,9457,5564,66,2488,4437,7455,3884,3745,8018,4711,4882,184,517,673,68,19,21,48
26-03-2020,94135,22095,9748,36993,72676,3613,18638,4,49295,78138,172,3503,5464,8693,4512,8354,8195,3258,7506,9634,910,855,136,6,93,82,80
27-03-2020,33555,52557,50894,51062,17067,41228,31970,92048,36571,26045,4978,9209,8932,8979,9923,2793,6344,1138,5679,5484,204,276,911,82,38,99,54
28-03-2020,91159,40109,87459,66379,97314,60879,30091,10908,57906,96546,6281,402,5637,7531,3528,3363,6791,7953,1195,6735,815,758,345,74,3,10,23
29-03-2020,28914,63988,66992,90797,99095,26209,16780,19311,58837,67813,5147,2189,6051,363,3597,7479,9223,4583,2266,4751,342,556,502,24,66,52,88
30-03-2020,42902,92559,98712,8709,3080,71055,13663,2249,36140,28867,1559,3221,3343,895,4639,7093,8482,4906,2576,9849,314,495,258,55,94,79,5
31-03-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
01-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
02-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
03-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
04-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
05-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
06-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
07-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
08-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
09-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
10-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
11-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
12-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
13-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
14-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
15-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
16-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
17-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
18-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
19-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
20-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
21-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
22-04-2020,98819,44179,96294,96108,61368,22973,51191,28270,11119,11461,6484,4112,63,8515,4555,2238,157,5358,6076,8185,957,130,489,17,45,96,10
23-04-2020,54503,52470,22018,38528,21122,43403,38231,62794,44286,27608,5226,2490,8491,8209,9606,4762,9118,4523,7644,1846,995,858,210,32,3,81,8
24-04-2020,69550,91137,77402,41845,17750,42618,21199,45081,34758,55910,8869,707,1171,8471,3327,5393,7018,6271,8763,361,979,603,61,46,12,49,81
25-04-2020,46625,35206,37924,7487,52488,16580,35819,94080,77434,12598,183,4347,7198,2786,9594,8168,4620,1042,5478,6685,42,860,113,14,40,50,46
26-04-2020,90667,18768,61098,82819,66559,79693,39067,88540,84522,10917,6455,7806,1737,8110,1884,2203,3664,2606,3478,3633,395,280,985,8,75,40,42
27-04-2020,77561,86201,33416,13287,40427,74012,19445,50825,50002,44156,8889,9173,7790,9358,473,6488,5491,8777,7960,1618,841,862,589,21,91,28,58
28-04-2020,69063,34806,31536,32927,40236,10533,16407,10122,5568,50341,8680,5441,6495,2972,4446,813,7173,4469,9458,5070,716,597,231,83,34,49,25
29-04-2020,97298,962,79229,50233,9152,40739,13373,10734,32955,44862,1888,5740,6272,1396,1017,7460,7603,1870,6564,775,547,58,536,3,72,51,6
30-04-2020,6702,26083,13622,41709,21105,7116,87934,85218,70692,542,1871,8988,5555,7775,9361,1394,5433,780,8923,5972,945,995,32,37,69,19,99
01-05-2020,29166,5369,19343,16172,35371,73725,30299,42084,59941,72698,5746,6151,2895,556,9388,5994,2799,6934,4285,820,802,598,382,64,68,38,69
02-05-2020,82632,20684,31934,37670,27570,98555,72812,8787,4400,77159,5801,218,7330,3194,3831,6694,245,3123,9743,1614,952,824,128,99,24,70,46
03-05-2020,8247,89507,37009,55789,5454,78208,26771,37657,41916,82114,4828,3542,6890,6718,8757,7473,3139,6788,2868,4763,780,885,974,55,84,15,86
04-05-2020,36662,62017,63184,55310,1889,14329,88948,49653,47179,12429,2993,4691,1201,6781,9622,9530,5708,1983,5310,4259,567,622,767,79,97,80,22
05-05-2020,56872,45029,35063,71698,69422,76710,31542,60793,85203,34393,6871,4393,1537,9598,9061,6880,722,608,9988,7337,426,471,950,20,37,65,25
06-05-2020,3336,87945,97226,51794,91068,64543,51130,86584,15916,85086,7435,6143,8731,2772,9041,6374,6429,5445,6826,8420,13,673,613,25,36,53,15
07-05-2020,83382,20244,47001,8910,32683,29556,81625,3936,6413,37934,3402,2471,1120,6427,966,6992,6511,6017,4191,3660,716,124,785,16,78,79,8
08-05-2020,67241,56017,77028,65457,26855,69459,76907,87154,23957,26148,3704,5913,9223,6079,1874,5668,874,2328,1610,403,959,645,907,42,67,86,95
09-05-2020,71770,50898,69799,71237,12261,44048,73695,84738,97203,98825,6500,8904,4834,2713,1105,9125,3703,2722,7922,5158,619,341,844,75,25,85,2
10-05-2020,32765,48805,42980,16309,87948,70554,13051,51276,90746,10216,842,6602,4374,7202,6489,2609,1034,3280,6116,7370,552,436,594,22,80,59,44
11-05-2020,2419,49825,45280,80176,84866,75055,75764,45699,77394,35548,1792,6805,668,6836,5381,5016,1500,1149,6339,5095,565,665,553,97,43,73,95
12-05-2020,35009,75293,7897,24629,45761,94542,45024,59952,56580,3576,1844,3712,9142,7518,7961,9046,5468,7500,685,5133,625,327,388,33,22,62,35
13-05-2020,12795,32463,24668,25372,75964,45237,38626,3,41720,85085,8388,8121,7911,777,6942,2572,2421,6702,6781,8688,533,448,55,50,63,39,17
14-05-2020,33963,33143,86475,79746,67807,50445,33683,41171,13165,76267,1077,2371,7174,6672,8793,4445,4104,7446,3328,1742,981,178,124,15,44,90,12
15-05-2020,41795,53938,34631,73859,29808,84717,38740,23469,96333,87101,4712,9547,8931,9008,3878,6707,6341,6761,9595,7341,237,407,256,93,79,22,73
16-05-2020,75146,18878,63961,81730,97775,73665,34335,86636,45951,42875,7071,913,4908,6892,3830,8979,4445,4572,8628,1582,111,951,928,24,44,23,52
17-05-2020,76380,11164,70535,58134,87785,84883,78581,63347,43693,26134,9954,8580,4697,6540,3623,2435,372,3115,6776,123,418,596,787,30,40,88,38
18-05-2020,44554,74463,80449,42949,39368,74616,14611,63584,38434,15642,1576,9267,811,2015,2352,9390,8542,7674,4196,9916,483,10,779,35,3,46,42
19-05-2020,96600,55015,27792,7534,34490,65055,88157,13400,11197,51457,1326,8810,7155,7764,7235,544,2837,3225,7826,8449,139,479,355,75,13,43,4
20-05-2020,51265,76785,82841,29964,76310,82176,71258,38851,64884,75098,3205,7561,9368,9273,5959,4608,8563,6907,5342,1543,112,439,937,88,5,28,12
21-05-2020,58738,31202,79074,29741,85771,69068,43577,6479,37601,41114,5957,4962,5763,1379,8921,8969,1051,6910,7538,626,122,994,724,60,94,32,54
22-05-2020,27298,91982,77118,97508,77150,83797,45298,91081,28951,79440,2982,1536,4939,6112,9377,1367,8442,9625,1141,7384,826,398,337,78,93,87,66
23-05-2020,98991,71131,17093,47125,73439,39302,99701,47115,13509,32597,2177,8176,9570,1081,6837,5584,3039,4606,193,1302,24,784,811,71,58,81,77
24-05-2020,81779,30531,3586,66082,93365,20748,75056,96191,55615,33595,337,432,8836,8514,5483,8187,8946,3350,6883,3585,382,748,714,22,57,12,19
25-05-2020,67211,38314,77817,84447,81110,46431,87685,91275,69911,15960,7347,5053,7539,1000,7585,343,8124,287,211,2441,524,953,120,99,12,78,64
26-05-2020,29154,10231,72151,37224,37088,24661,17564,36179,90044,1748,3374,7589,7515,1394,9469,7601,6082,1709,4165,7397,51,155,510,71,50,0,61
27-05-2020,6561,61403,18807,310,45555,10205,66260,7051,9084,45474,9773,5356,8014,7498,4610,43,9973,230,1522,1164,675,187,962,48,68,91,39
28-05-2020,9913,61778,49244,25187,59587,13034,87962,57378,13958,67787,5092,6255,3803,5219,2894,189,4781,1763,1380,4363,492,842,213,45,10,50,71
29-05-2020,97954,21263,33611,77358,24654,20180,22497,7318,29057,10725,8100,8878,8019,483,3556,8519,831,9876,8636,1866,38,598,639,17,18,73,62
30-05-2020,59964,86926,35850,92115,55065,4522,25840,97732,51771,88224,4112,3340,45,4945,7309,8522,8969,9602,6695,6372,380,481,888,80,17,44,75
31-05-2020,83834,40366,54794,4325,90733,66649,68246,18251,14931,25781,8941,3021,3538,4147,1582,9369,9343,1664,734,6952,343,179,859,48,17,77,61
01-06-2020,62323,7533,95966,65361,47749,4864,91013,44376,81088,25177,9508,5327,5178,9743,9329,9268,313,9708,1398,7720,991,461,688,59,3,51,52
02-06-2020,79222,47910,87767,34726,99625,15329,12223,76483,57159,48587,8481,1746,6753,9525,6305,6909,8550,2717,1935,6827,403,790,56,51,12,16,39
03-06-2020,62500,12536,35103,57732,82893,94693,74111,39001,31280,43462,9795,9890,8444,830,3077,7944,4950,8084,3127,3748,577,135,933,79,9,33,75
04-06-2020,76278,45337,95912,63431,41844,26842,38623,1159,51317,44072,3910,4936,54,3493,8239,3959,1280,5867,6588,5649,638,992,195,4,27,6,66
05-06-2020,79913,1136,98576,99322,87720,51366,27226,99799,6602,23813,3901,5400,3380,5847,7642,6047,638,3103,7653,3408,530,726,547,31,23,38,42
06-06-2020,18932,33537,2328,36234,54214,3913,38922,68492,41664,59936,4340,5833,4532,908,2072,5495,1303,3723,3545,7728,281,841,263,19,52,67,77
07-06-2020,88039,66654,72928,15628,78776,19194,24750,76403,99938,25918,8042,4074,5766,6648,4019,261,5932,3645,2821,1183,421,108,519,27,55,64,91
08-06-2020,56860,12818,99675,91682,10707,381,87171,41265,55849,86320,3620,9778,3688,9515,4641,8570,1185,3412,4863,2977,34,749,495,12,16,7,18
09-06-2020,27570,53306,70596,53264,724,2426,97728,280,59507,89538,1054,6795,695,4598,7578,5513,5447,8164,9021,3509,291,262,214,83,98,97,36
10-06-2020,63530,72560,84474,29043,13609,44814,90603,44453,98442,3396,7211,3114,8739,9796,8331,361,5156,8838,6667,163,14,166,187,12,48,34,61
11-06-2020,76634,74218,64183,75619,88737,89731,10307,15168,53191,70235,635,5910,4434,9440,3766,6041,8697,30,4259,2707,904,332,459,43,45,0,90
12-06-2020,51903,86977,82649,53855,32984,31100,82680,69222,64046,38224,2170,8108,4539,3246,7734,5033,4448,683,5654,3628,771,469,497,34,40,3,9
13-06-2020,93761,4667,47532,87951,11759,86462,46708,13361,67967,48048,2004,4806,7321,3239,5453,7164,5750,9473,6975,8295,219,537,506,79,30,39,38
14-06-2020,36374,23994,88493,28214,25661,40172,3328,52439,39779,54185,3849,1008,4607,7906,9653,5232,6383,9209,4768,5306,794,102,13,78,1,49,53
15-06-2020,75952,7700,69742,24824,92864,82227,22072,36255,16048,87103,1653,3887,9004,8120,2349,4251,3917,1079,1279,264,437,551,838,98,72,30,41
16-06-2020,94962,57945,53897,87741,82799,24906,37707,231,75387,13619,8040,1505,6707,9788,1519,9048,626,7834,3330,5945,804,92,290,57,71,40,4
17-06-2020,2517,36218,82959,24644,73031,39307,61822,19735,66763,58721,6163,9650,4377,941,5777,7402,6960,7178,7577,9882,474,857,278,93,77,51,79
18-06-2020,38289,26120,224,14,5717,86380,44189,45846,67123,34208,7032,1180,6772,9793,3721,5194,2502,177,7394,2584,592,157,299,0,18,6,50
19-06-2020,4630,57457,93913,76246,45032,5246,37236,76460,98088,63220,5104,2003,4835,4913,208,9530,8773,3869,1043,9264,44,638,417,56,64,38,59
20-06-2020,18969,42537,59784,50379,11176,85918,17884,88398,79928,34164,4390,6742,4058,3678,454,2160,8780,4745,9858,6299,80,172,89,31,17,13,59
21-06-2020,25127,98702,2811,83835,50839,80405,71353,92701,74561,45805,9667,8190,3470,7125,2896,9065,1902,3898,3786,5727,940,559,121,95,36,4,99
22-06-2020,67617,54083,70006,4609,47630,65905,31256,55693,85433,9538,3649,6217,6462,9507,4649,9025,5505,1021,1233,7526,88,943,19,43,52,22,9
23-06-2020,34062,78556,7801,53366,32938,84131,33243,7236,33621,22838,6033,7665,2406,5133,8076,4920,6244,9094,1730,1667,847,889,942,52,70,54,1
24-06-2020,80610,3759,58529,27901,87750,4530,20095,82559,43879,47954,7683,2120,7609,2696,326,845,6960,4487,5299,630,438,166,639,19,78,49,67
25-06-2020,46982,96351,95546,36874,3009,92477,73681,8620,24628,32394,611,2804,5970,9420,687,3476,1228,9874,8980,3333,222,513,779,98,72,42,92
26-06-2020,1316,6155,25162,84573,8797,73728,77527,59948,75867,53870,8238,9814,9427,704,5194,6446,134,9337,3152,2658,321,431,902,16,38,31,22
27-06-2020,74236,22390,94698,6978,766,42787,14336,24561,48779,22294,4639,2606,4710,7097,4181,9731,1034,399,5836,1720,541,607,548,25,35,52,46
28-06-2020,36351,57190,82085,17293,54622,94979,94853,35043,37664,24341,3878,3953,8623,9459,1924,6386,8595,8743,7738,8050,742,485,492,10,92,90,9
29-06-2020,66720,47882,19356,60457,78378,95308,83715,23314,50690,70545,7766,6519,9890,6100,2237,2952,7581,6671,1874,5846,752,426,312,78,29,76,28
30-06-2020,67229,25778,32027,27889,7636,79150,57279,24619,2049,75693,4617,4756,475,856,2592,619,42,371,9868,3630,361,458,37,10,53,36,64
01-07-2020,44435,95361,32743,77297,45653,44668,14502,51671,45385,52095,9221,5165,9374,1987,3928,6088,8155,2749,3543,6596,404,726,937,86,91,0,55
02-07-2020,61129,69904,71780,1538,21787,54690,70085,91151,57731,48787,101,6384,1856,7735,1653,2824,2027,9922,1686,8012,59,160,648,76,51,95,79
03-07-2020,58827,67119,20017,74828,15849,42557,70152,5128,97170,90611,4839,9882,7284,5102,6746,342,7729,9252,7816,7478,789,958,247,32,27,98,6
04-07-2020,77775,2917,92075,95679,34008,2955,63385,53599,340,54607,1211,2080,8508,2732,1906,5140,1899,1189,5095,4187,217,51,670,33,7,54,19
05-07-2020,11070,81900,93541,83224,78501,89467,62358,98881,75755,37494,2841,6916,5056,5898,8252,4890,6811,216,2411,2043,525,144,656,59,77,50,98
06-07-2020,25470,33022,49883,27761,64764,51517,66381,17009,94508,45402,9508,1684,8272,4872,2786,4221,8805,1397,746,4892,167,893,588,47,65,22,9
07-07-2020,73860,79082,31767,70928,45597,84179,73981,16230,77374,24084,9406,1002,17,4909,7556,3704,8630,9277,5903,9583,511,516,149,58,22,80,41
08-07-2020,83783,39712,10337,75074,93094,1693,45387,10142,54790,67253,6360,3038,9900,8733,8903,7577,8891,655,3150,9260,134,805,364,9,15,47,36
09-07-2020,78091,1297,71417,61080,4842,93710,37494,33041,25071,3553,4416,4647,7523,8077,7514,5375,1420,8770,1813,4547,633,374,690,88,89,21,20
10-07-2020,77969,17076,84622,23564,90812,24864,85572,27434,5880,42259,4577,5886,8354,4593,7821,471,2893,5786,2055,7995,631,555,586,32,64,28,7
11-07-2020,3116,23757,55962,84187,56135,29413,58697,29486,81019,84604,1149,3493,1445,328,1141,9928,3090,2848,8728,9826,17,988,818,36,9,56,74
12-07-2020,28890,64908,2124,88693,23230,59817,27693,80024,64008,10318,3792,1337,6871,6362,2900,6147,8579,3594,7515,676,342,48,111,68,65,15,60
13-07-2020,20508,40309,98200,33400,66728,67248,56140,73707,62226,91515,3056,2166,4819,233,706,772,8290,2393,9380,9583,84,804,547,43,90,87,20
14-07-2020,44789,32941,51939,62426,86373,73661,37988,86178,44560,20117,6936,1482,8941,9520,6696,4039,762,5323,1903,4668,316,391,618,20,6,28,41
15-07-2020,70102,4547,46037,31401,98891,70034,10961,31081,36458,61985,9082,5211,7194,7642,904,3499,7950,8641,418,243,961,100,250,97,52,25,37
16-07-2020,24511,8388,88927,12190,2608,3546,74997,56335,25684,31408,1775,6124,9739,2386,7182,4022,7325,1259,4890,6908,867,65,857,1,44,98,12
17-07-2020,60814,94807,65879,80885,24813,36791,73941,59296,11601,96950,9395,6913,302,8928,7050,6416,678,2468,1296,2489,615,698,622,5,38,35,59
18-07-2020,6586,88992,9870,8582,45715,2987,22543,98933,57519,6325,3373,4357,6070,4523,6623,6721,1644,3471,7479,2588,600,683,103,63,8,16,62
19-07-2020,8834,59281,72814,5319,72034,8902,36614,96369,19411,69771,1406,1294,839,6341,2078,8566,2180,4159,6578,1039,550,843,708,12,66,4,29
20-07-2020,30629,78151,99590,45587,76427,21299,72150,92686,86789,60272,9471,9312,2405,1836,7137,7332,3335,922,6462,4138,348,29,206,7,18,41,35
21-07-2020,51088,14023,6619,48663,77436,24486,40544,99346,2873,68110,6042,843,6397,2636,1592,844,9245,7421,4166,3524,592,187,701,49,33,42,74
22-07-2020,20942,20585,35075,48896,91255,42555,96964,88274,62044,82907,5739,116,6416,2994,4826,4362,8094,4616,9403,974,797,288,915,79,38,13,83
23-07-2020,9592,52844,92361,6335,59230,11100,33507,91217,2232,16590,521,7350,8656,667,6455,3876,7405,2985,335,2019,867,442,932,65,3,69,10
24-07-2020,57597,30231,47152,94758,24173,39425,73323,80480,79305,87072,6822,5632,4515,7254,554,8426,4429,7770,2357,3494,69,19,583,52,83,16,24
